Location,Tournament,Date,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,B365W,B365L
London,Wimbledon,29/06/15,Broady L.,Matosevic M.,182,138,5.0,7.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,3.0,3.0,2.0,2.62,1.44
London,Wimbledon,29/06/15,Cilic M.,Moriya H.,9,174,6.0,3.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,1.02,17.0
London,Wimbledon,29/06/15,Berankis R.,Haider-Maurer A.,90,57,6.0,2.0,5.0,2.0,,,,,,,1.0,0.0,1.5,2.5
London,Wimbledon,29/06/15,Thiem D.,Sela D.,30,85,2.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,1.53,2.37
London,Wimbledon,29/06/15,Granollers M.,Tipsarevic J.,72,486,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,1.57,2.25
London,Wimbledon,29/06/15,Goffin D.,Zeballos H.,15,128,7.0,6.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,1.11,6.5
London,Wimbledon,29/06/15,Verdasco F.,Klizan M.,43,39,4.0,6.0,6.0,2.0,6.0,3.0,6.0,7.0,13.0,11.0,3.0,2.0,1.28,3.5
London,Wimbledon,29/06/15,Kyrgios N.,Schwartzman D.,29,64,6.0,0.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,1.04,13.0
London,Wimbledon,29/06/15,Mayer L.,Kokkinakis T.,21,71,7.0,6.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,1.53,2.37
London,Wimbledon,29/06/15,Isner J.,Soeda G.,17,91,7.0,6.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.06,10.0
London,Wimbledon,29/06/15,Djokovic N.,Kohlschreiber P.,1,33,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.03,15.0
London,Wimbledon,29/06/15,Nieminen J.,Hewitt L.,92,118,3.0,6.0,6.0,3.0,4.0,6.0,6.0,0.0,11.0,9.0,3.0,2.0,2.37,1.53
London,Wimbledon,29/06/15,Monaco J.,Mayer F.,35,294,6.0,1.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,3.4,1.3
